FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2023,105.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2024,106.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2016,98.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2017,102,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2018,104.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2019,105.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2020,103.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2021,108.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2022,118.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2023,123,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,07,-- trasporti,2024,123.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2016,99.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2017,97.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2018,94.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2019,87.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2020,82.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2021,80.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2022,78.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2023,78.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,08,-- comunicazioni,2024,74,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2016,100.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2017,100.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2018,101.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2019,101.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2020,101,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2021,101.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2022,102.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2023,106.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,09,'-- ricreazione, spettacoli e cultura',2024,108,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2016,100.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2017,96,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2018,83.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2019,84.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2020,84.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2021,81.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2022,81.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2023,82.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,10,-- istruzione,2024,84.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2016,100.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2017,102.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2018,103.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2019,104.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2020,105.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2021,107.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2022,113.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2023,121.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,11,-- servizi ricettivi e di ristorazione,2024,126.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2016,100.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2017,101.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2018,103.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2019,105.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2020,106.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2021,108,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2022,110.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2023,114.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,12,-- altri beni e servizi,2024,117.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2016,99.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2017,101.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2018,102.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2019,102.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2020,102.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2021,104.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2022,113.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2023,119.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00ST,Indice generale senza tabacchi,2024,120.9,,
